"Timestamp","Username","Please select your ASURITE ID","Please enter your Github username (NOT your email address), I need to be able to map this username easily to your name or asurite","Email address for us to invite you to the Taiga scrumboard","In what time zone do you live or will you be during the session? Please use UTC so we can match it easier.","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [0:00 AM - 3:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 AM - 6:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 AM - 9:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 AM - 12:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [12:00 PM - 3:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 PM - 6:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 PM - 9:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 PM - 12:00 PM]","Preferred team member 1","Preferred team member 2","Preferred team member 3","Preferred team member 4","Non-preferred student 1","Non-preferred student 2","Non-preferred student 3"
"2022/01/10 10:25:11 AM MST","asurite1@asu.edu","asurite1","A_1","A1@gmail.com","UTC -7","","","Friday;Saturday","Friday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Wednesday;Friday","Friday","asurite11","asurite27","","","asurite51","asurite28",""
"2022/01/10 12:05:20 PM MST","asurite2@asu.edu","asurite2","A_2","A2@gmail.com","UTC -7","","","Monday;Tuesday;Wednesday;Thursday;Friday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","","","","","",""
"2022/01/10 12:14:01 PM MST","asurite3@asu.edu","asurite3","A_3","A3@gmail.com","UTC -7","","","","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Monday;Wednesday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite19","asurite47","asurite12","asurite18","","",""
"2022/01/10 12:19:47 PM MST","asurite4@asu.edu","asurite4","A_4","A4@gmail.com","UTC -7","","","Tuesday;Thursday;Friday","Tuesday;Thursday;Friday","Monday;Wednesday;Friday","Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite35","asurite6","asurite10","","asurite28","",""
"2022/01/10 12:20:37 PM MST","asurite5@asu.edu","asurite5","A_5","A5@gmail.com","UTC -7","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday","Sunday;Monday;Wednesday;Friday","Sunday;Tuesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite29","asurite30","asurite50","asurite39","","",""
"2022/01/10 12:46:23 PM MST","asurite6@asu.edu","asurite6","A_6","A6@gmail.com","UTC -7","","","","Sunday;Friday;Saturday","","Sunday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite35","asurite4","asurite10","","","",""
"2022/01/10 1:09:33 PM MST","asurite7@asu.edu","asurite7","A_7","A7@gmail.com","UTC -7","","","Monday;Tuesday;Wednesday;Thursday;Friday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Tuesday;Thursday;Friday;Saturday","","","asurite29","asurite17","asurite11","asurite1","asurite26","",""
"2022/01/10 2:38:45 PM MST","asurite8@asu.edu","asurite8","A_8","A8@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Saturday","Sunday;Monday;Wednesday;Friday;Saturday","","","","","","","",""
"2022/01/10 4:02:11 PM MST","asurite9@asu.edu","asurite9","A_9","A9@gmail.com","UTC -7","","","","Sunday;Tuesday;Thursday;Friday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday","Sunday;Friday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday","","asurite40","asurite45","asurite4","asurite6","","",""
"2022/01/10 5:32:43 PM MST","asurite10@asu.edu","asurite10","A_10","A10@gmail.com","UTC -7","","","Sunday;Monday;Wednesday;Saturday","Sunday;Thursday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Monday;Tuesday;Friday;Saturday","Sunday;Tuesday;Friday;Saturday","asurite35","asurite46","asurite6","asurite4","","",""
"2022/01/10 6:29:46 PM MST","asurite11@asu.edu","asurite11","A_11","A11@gmail.com","UTC -7","","","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","asurite29","asurite1","asurite7","asurite17","asurite28","asurite51",""
"2022/01/11 11:58:00 AM MST","asurite12@asu.edu","asurite12","A_12","A12@gmail.com","UTC -7","","","Monday;Tuesday;Wednesday;Thursday;Friday","Tuesday;Thursday;Friday","","Tuesday;Thursday;Friday","Monday;Tuesday;Wednesday;Thursday;Friday","","asurite6","asurite35","asurite4","asurite40","asurite18","asurite3","asurite28"
