Timestamp,Username,Please select your ASURITE ID,Please enter your Github username (NOT your email address),Email address for us to invite you to the Taiga scrumboard,In what time zone do you live or will you be during the session? Please use UTC so we can match it easier.,"Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [0:00 AM - 3:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 AM - 6:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 AM - 9:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 AM - 12:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [12:00 PM - 3:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 PM - 6:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 PM - 9:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 PM - 12:00 PM]",Preferred team member 1,Preferred team member 2,Preferred team member 3,Preferred team member 4,Non-preferred student 1,Non-preferred student 2,Non-preferred student 3
2022/03/11 8:18:28 AM MST,asurite1@asu.edu,asurite1,A_1,A1@gmail.com,UTC -6,,,Tuesday;Wednesday;Thursday;Friday,Tuesday;Wednesday;Thursday;Friday;Saturday,Tuesday;Wednesday;Thursday;Saturday,Monday;Tuesday;Wednesday;Thursday;Saturday,Monday;Tuesday;Wednesday;Thursday,,,,,,,,
2022/03/11 9:15:42 AM MST,asurite2@asu.edu,asurite2,A_2,A2@gmail.com,UTC -5,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,,
2022/03/11 10:15:47 AM MST,asurite3@asu.edu,asurite3,A_3,A3@gmail.com,UTC -7,,,,,,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite78,,,,asurite115,,
2022/03/11 10:49:55 AM MST,asurite4@asu.edu,asurite4,A_4,A4@gmail.com,UTC -7,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite102,asurite97,asurite20,asurite18,asurite66,,
2022/03/11 12:59:16 PM MST,asurite5@asu.edu,asurite5,A_5,A5@gmail.com,UTC -5,,,Tuesday;Thursday;Friday,Tuesday;Thursday;Friday,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite21,asurite88,asurite128,asurite112,asurite8,asurite31,
2022/03/11 3:13:19 PM MST,asurite6@asu.edu,asurite6,A_6,A6@gmail.com,UTC -7,,,,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,asurite8,asurite74,asurite79
2022/03/11 4:15:40 PM MST,asurite7@asu.edu,asurite7,A_7,A7@gmail.com,UTC -6,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/11 4:36:47 PM MST,asurite8@asu.edu,asurite8,A_8,A8@gmail.com,UTC -6,,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite79,,,,,,
2022/03/11 5:47:40 PM MST,asurite9@asu.edu,asurite9,A_9,A9@gmail.com,UTC -8,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Thursday;Friday;Saturday,,,,,,,
2022/03/11 6:38:51 PM MST,asurite10@asu.edu,asurite10,A_10,A10@gmail.com,UTC -8,,,Thursday;Friday;Saturday,Thursday;Friday;Saturday,Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,
2022/03/11 8:18:52 PM MST,asurite11@asu.edu,asurite11,A_11,A11@gmail.com,UTC -8,,,Sunday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,
2022/03/11 10:56:29 PM MST,asurite12@asu.edu,asurite12,A_12,A12@gmail.com,UTC -7,,,Sunday;Saturday,Sunday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Friday;Saturday,,,,,,,,,
2022/03/12 12:54:39 AM MST,asurite13@asu.edu,asurite13,A_13,A13@gmail.com,UTC -7,,,,Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/12 7:43:02 AM MST,asurite14@asu.edu,asurite14,A_14,A14@gmail.com,UTC +6,,,,Sunday;Saturday,Sunday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite96,,,,,,
2022/03/12 8:01:38 AM MST,asurite15@asu.edu,asurite15,A_15,A15@gmail.com,UTC -7,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/12 11:12:28 AM MST,asurite16@asu.edu,asurite16,A_16,A16@gmail.com,UTC -8,,,,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite27,asurite24,asurite21,asurite30,,,
2022/03/12 12:06:02 PM MST,asurite17@asu.edu,asurite17,A_17,A17@gmail.com,UTC -7,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,asurite93,,
2022/03/12 12:48:10 PM MST,asurite18@asu.edu,asurite18,A_18,A18@gmail.com,UTC -5,,,,,,,Sunday;Monday;Tuesday;Friday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday,asurite102,asurite20,asurite34,asurite19,,,
2022/03/12 12:52:20 PM MST,asurite19@asu.edu,asurite19,A_19,A19@gmail.com,UTC -4,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Saturday,asurite34,asurite25,asurite102,asurite20,asurite129,,
2022/03/12 1:35:25 PM MST,asurite20@asu.edu,asurite20,A_20,A20@gmail.com,UTC -8,,,,Friday,Friday,Tuesday;Thursday;Friday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite102,asurite34,asurite18,asurite19,,,
2022/03/12 1:52:40 PM MST,asurite21@asu.edu,asurite21,A_21,A21@gmail.com,UTC -8,Sunday;Saturday,,,Sunday;Monday;Wednesday;Friday;Saturday,Sunday;Monday;Wednesday;Friday;Saturday,Sunday;Monday;Wednesday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite30,asurite16,asurite27,,asurite89,asurite129,
2022/03/12 5:16:40 PM MST,asurite22@asu.edu,asurite22,A_22,A22@gmail.com,UTC -6,,,,Sunday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite14,asurite74,,,,,
2022/03/12 5:55:09 PM MST,asurite23@asu.edu,asurite23,A_23,A23@gmail.com,UTC -5,,,,,,Sunday;Monday;Tuesday;Wednesday;Saturday,Sunday;Monday;Tuesday;Wednesday;Saturday,Sunday;Monday;Tuesday;Wednesday;Saturday,,,,,,,
2022/03/12 7:44:53 PM MST,asurite24@asu.edu,asurite24,A_24,A24@gmail.com,UTC -8,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday,Sunday;Monday;Tuesday;Wednesday;Thursday,Sunday;Monday;Tuesday;Wednesday;Thursday,,asurite16,asurite27,asurite31,,,,
2022/03/12 11:10:09 PM MST,asurite25@asu.edu,asurite25,A_25,A25@gmail.com,UTC -8,Saturday,Saturday,Saturday,Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite19,asurite34,asurite102,,,,
2022/03/13 5:07:44 AM MDT,asurite26@asu.edu,asurite26,A_26,A26@gmail.com,UTC -5,,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/13 9:56:15 AM MDT,asurite27@asu.edu,asurite27,A_27,A27@gmail.com,UTC -8,,,,,Saturday,Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite16,asurite21,asurite30,asurite24,,,
2022/03/13 10:01:53 AM MDT,asurite28@asu.edu,asurite28,A_28,A28@gmail.com,UTC -7,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,asurite9,,,,,,
2022/03/13 11:56:59 AM MDT,asurite29@asu.edu,asurite29,A_29,A29@gmail.com,UTC -8,,,Sunday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Tuesday;Wednesday;Thursday,Tuesday;Wednesday;Thursday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,,
2022/03/13 1:03:45 PM MDT,asurite30@asu.edu,asurite30,A_30,A30@gmail.com,UTC -4,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,asurite21,,,,asurite126,asurite89,
2022/03/13 2:53:44 PM MDT,asurite31@asu.edu,asurite31,A_31,A31@gmail.com,UTC -8,,,Sunday;Monday;Thursday;Friday;Saturday,Sunday;Monday;Thursday;Friday;Saturday,Sunday;Monday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday,,asurite8,asurite24,asurite16,asurite27,,,
2022/03/13 4:20:36 PM MDT,asurite32@asu.edu,asurite32,A_32,A32@gmail.com,UTC -5,Sunday;Monday,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday,Sunday;Monday;Tuesday;Wednesday;Thursday,Sunday;Monday;Tuesday;Wednesday;Thursday,asurite70,asurite73,asurite22,asurite21,,,
2022/03/13 6:39:34 PM MDT,asurite33@asu.edu,asurite33,A_33,A33@gmail.com,UTC -5,,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/13 7:02:21 PM MDT,asurite34@asu.edu,asurite34,A_34,A34@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Saturday,,asurite25,asurite19,asurite102,asurite18,asurite66,asurite129,asurite44
2022/03/13 11:03:06 PM MDT,asurite35@asu.edu,asurite35,A_35,A35@gmail.com,UTC -7,,,Sunday,Sunday,Sunday;Saturday,Sunday,Sunday;Monday;Wednesday;Friday;Saturday,,,,,,asurite125,,
2022/03/14 1:18:55 AM MDT,asurite36@asu.edu,asurite36,A_36,A36@gmail.com,UTC -7,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,,,,,
2022/03/14 1:24:38 AM MDT,asurite37@asu.edu,asurite37,A_37,A37@gmail.com,UTC -7,,,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Saturday,Sunday;Saturday,,,,,asurite106,,
2022/03/14 8:37:43 AM MDT,asurite38@asu.edu,asurite38,A_38,A38@gmail.com,UTC -6,,,,Monday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Thursday;Friday;Saturday,Sunday;Friday;Saturday,Sunday;Friday;Saturday,,,,,,,
