Username,Please select your ASURITE ID,Please enter your Github username (NOT your email address),Email address for us to invite you to the Taiga scrumboard,In what time zone do you live or will you be during the session? Please use UTC so we can match it easier.,"Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [0:00 AM - 3:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 AM - 6:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 AM - 9:00 AM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 AM - 12:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [12:00 PM - 3:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [3:00 PM - 6:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [6:00 PM - 9:00 PM]","Please choose times that are good for your team to meet. Times are in the Phoenix, AZ time zone! [9:00 PM - 12:00 PM]","How well would you say you know GitHub? (1 not at all, 5 worked with it a lot - know how to merge, resolve conflicts, etc.) You are not expected to know GitHub well yet, so please be honest. It will not be used for grading what you put here but I want to try to have one student knowing GitHub in each team to make things easier.","Do you know Scrum already? (1 just heard about it, 5 know it well (process, roles). You are not expected to know Scrum yet, so please be honest. It will not be used for grading what you put here. ",Preferred team member 1,Preferred team member 2,Preferred team member 3,Preferred team member 4,Preferred team member 5,Non-preferred student 1,Non-preferred student 2,Non-preferred student 3
asurite1@asu.edu,asurite1,A_1,A1@gmail.com,UTC -7,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,1,1,asurite5,asurite28,asurite9,asurite13,asurite26,,,
asurite2@asu.edu,asurite2,A_2,A2@gmail.com,UTC -7,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Saturday,,2,1,,,,,,,,
asurite3@asu.edu,asurite3,A_3,A3@gmail.com,UTC -6,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,4,4,asurite38,asurite39,,,,,,
asurite4@asu.edu,asurite4,A_4,A4@gmail.com,UTC -4,Sunday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Saturday,1,1,asurite56,,,,,,,
asurite5@asu.edu,asurite5,A_5,A5@gmail.com,UTC -5,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,3,2,asurite1,asurite28,asurite13,asurite26,asurite9,,,
asurite6@asu.edu,asurite6,A_6,A6@gmail.com,UTC +7,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,4,1,,asurite57,,,,,,
asurite7@asu.edu,asurite7,A_7,A7@gmail.com,UTC -6,,,,,,Sunday;Monday;Tuesday;Thursday;Saturday,Sunday;Monday;Tuesday;Thursday;Saturday,Sunday;Monday;Tuesday;Thursday;Saturday,3,3,,,,,,,,
asurite8@asu.edu,asurite8,A_8,A8@gmail.com,UTC +5,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,5,5,asurite54,asurite29,asurite31,asurite33,asurite19,asurite15,asurite58,asurite32
asurite9@asu.edu,asurite9,A_9,A9@gmail.com,UTC -5,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Monday;Tuesday,Monday;Tuesday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday,3,2,asurite28,asurite1,asurite13,asurite26,,,,
asurite10@asu.edu,asurite10,A_10,A10@gmail.com,UTC -6,,,,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,5,5,,,,,,asurite8,,
asurite11@asu.edu,asurite11,A_11,A11@gmail.com,UTC -7,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,2,1,,,,,,,,
asurite12@asu.edu,asurite12,A_12,A12@gmail.com,UTC -5,,,,Sunday;Saturday,,,Monday;Tuesday;Wednesday;Thursday;Friday,,1,1,,,,,,,,
asurite13@asu.edu,asurite13,A_13,A13@gmail.com,UTC -7,,Sunday;Saturday,Sunday;Saturday,Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,4,4,asurite26,asurite1,asurite28,asurite9,asurite5,,,
asurite14@asu.edu,asurite14,A_14,A14@gmail.com,UTC -7,,,Sunday;Saturday,Sunday;Tuesday;Wednesday;Thursday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,3,5,,,,,,,,
asurite15@asu.edu,asurite15,A_15,A15@gmail.com,UTC -5,,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,1,1,asurite9,asurite58,asurite59,asurite27,asurite17,,,
asurite16@asu.edu,asurite16,A_16,A16@gmail.com,UTC -7,,,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,2,1,,,,,,,,
asurite17@asu.edu,asurite17,A_17,A17@gmail.com,UTC -4,,,,Friday;Saturday,Friday;Saturday,Sunday;Monday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Thursday;Friday,2,1,asurite24,,,,,,,
asurite18@asu.edu,asurite18,A_18,A18@gmail.com,UTC -8,,,,Monday;Tuesday;Wednesday;Thursday,Monday;Tuesday;Wednesday;Thursday,Monday;Tuesday;Wednesday;Thursday,Monday;Tuesday;Wednesday;Thursday,,1,1,asurite34,asurite20,,,,,,
asurite19@asu.edu,asurite19,A_19,A19@gmail.com,UTC -4,,,,Monday;Tuesday;Wednesday;Friday,Monday;Tuesday;Wednesday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,,4,2,,,,,,,,
asurite20@asu.edu,asurite20,A_20,A20@gmail.com,UTC -7,,,,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,Monday;Tuesday;Wednesday;Thursday;Friday,,1,1,asurite18,asurite34,,,,,,
asurite21@asu.edu,asurite21,A_21,A21@gmail.com,UTC +2,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3,3,,,,,,,,
asurite22@asu.edu,asurite22,A_22,A22@gmail.com,UTC -7,,Friday;Saturday,Friday;Saturday,Tuesday;Thursday,Tuesday;Thursday,Monday;Tuesday;Wednesday;Thursday,Monday;Tuesday;Wednesday;Thursday,Tuesday;Thursday,1,1,asurite11,,,,,,,
asurite23@asu.edu,asurite23,A_23,A23@gmail.com,UTC -7,,,,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,,1,1,,,,,,,,
asurite24@asu.edu,asurite24,A_24,A24@gmail.com,UTC -8,,,Sunday;Saturday,Sunday;Saturday,Sunday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,,2,1,,,,,,,,
